seed,gradient_descent_only_H,sis_elp_H,pi_elp_H
942,-3070,-2956,-3286
943,-3102,-3102,-3294
944,-3046,-3146,-3294
945,-2986,-2986,-3294
946,-2776,-3104,-2452
947,-2944,-3090,-3294
948,-2534,-2632,-3286
949,-2552,-2846,-3286
950,-3046,-3046,-2452
951,-2846,-3024,-3032
952,-3018,-3184,-2940
953,-3292,-3292,-2922
954,-3024,-3024,-2940
955,-3092,-3102,-3292
956,-2974,-2994,-3294
957,-3184,-3184,-2940
958,-2974,-2974,-2940
959,-3102,-3102,-3100
960,-2800,-3048,-3184
961,-2950,-2950,-2452
962,-3184,-3184,-2452
963,-2924,-2924,-2940
964,-2754,-2754,-3184
965,-3000,-3000,-3294
966,-2892,-2892,-3032
967,-3018,-3048,-3294
968,-2904,-2930,-2940
969,-2958,-3058,-3286
970,-2944,-2924,-3286
971,-3078,-2914,-2896
972,-3294,-3294,-2940
973,-2812,-2932,-2452
974,-3078,-3078,-3032
975,-2994,-2994,-2940
976,-2482,-2562,-3184
977,-3126,-3126,-3294
978,-2884,-2884,-3294
979,-2474,-2474,-3294
980,-3008,-3120,-2996
981,-3184,-3184,-2738
982,-2732,-2732,-3294
983,-2408,-2408,-3286
984,-2896,-2824,-2452
985,-3078,-2928,-3294
986,-2728,-2708,-3286
987,-3048,-3048,-2940
988,-3132,-3132,-2880
989,-2760,-2678,-2452
990,-2886,-2902,-2940
991,-3072,-3072,-2452
992,-2016,-2960,-3032
993,-2346,-2408,-3286
994,-2932,-3020,-3294
995,-2800,-2938,-3286
996,-3294,-3056,-3294
997,-3036,-2838,-3294
998,-2872,-2872,-2996
999,-2694,-2782,-3286
